number|name|description|creditpoints|teachername|address|requirement|semester|faculty|degree
II2018|Industrie 4.0 - Einführung, Konzepte und Technologien|In der Veranstaltung lernen die Studierenden die Grundlagen von Industrie 4.0 kennen und welche Zielsetzungen mit der Einführung erreicht werden sollen. Des Weiteren lernen die Studierenden die Konzepte und Technologien von Industrie 4.0 kennen|6|Prof. Dr. Christian Überall|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=888|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
EB2002|Informationsmanagement|Der Schwerpunkt dieser Veranstaltung liegt beim strategischen und operativen Management der betrieblichen IT-Systeme und deren Umfeld.|6|Prof. Dr. Peter Hohmann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=754|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
EB2507|Innovationsmanagement|Die Studierenden lernen die Methoden, Verfahren und Prozesse des Innovationsmanagements kennen und erarbeiten sich anhand von Praxisbeispielen die einzelnen Schritte des Innovationsprozesses.|3|Prof. Dr. Armin Wagenknecht|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=894|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2023|Intelligente Eingebettete Sensorsysteme|Die Studierenden sollen die Komponenten für intelligente eingebettete Systeme und ihre Eigenschaften kennenlernen und mit dem erworbenen Wissen einfache Anwendungsfälle für TinyML selbstständig umsetzen können.|6|Prof. Dr. Ing. Diethelm Bienhaus|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1621|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2009|Intelligente Umgebungen und Assistenzsysteme|Der Kurs gibt eine Einführung in Ambient Intelligence, intelligente Umgebungen und Assistenzsysteme. Systemarchitekturen, Komponenten und Vernetzungslösungen werden vorgestellt. Ambient Intelligence spezifische Aspekte werden behandelt. Studierende erhalten praktische Erfahrungen durch die Implementierung von AmI-Systemen.|6|Prof. Dr. Ing. Diethelm Bienhaus|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=48|Informatik (B.Sc. 2010)Konzepte systemnaher Programmierung (CS1018), Konzepte systemnaher Programmierung (CS1018)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2370|Interaktive Systeme|Der Kurs vermittelt die theoretischen und praktischen Grundlagen von Mensch-Computer-Interaktion. Er beinhaltet Modelle der menschlichen Informationsverarbeitung, Prinzipien zur Realisierung von guten Benutzerschnittstellen, benutzerorientierte Gestaltungsprozesse und die Evaluation von Benutzerschnittstellen durch empirische Studien.|6|Prof. Dr. Martin Weigel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1714|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2349|Kategorientheorie für Informatiker|Grundlagen der Kategorientheorie, die in der Informatik angewendet werden, z.B. Produkte, exponentielle Objekte, Funktoren, natürliche Transformationen, Monaden, Adjunktion, Yoneda-Lemma, Curry-Howard Isomorphismus.|6|Prof. Dr. Bettina Just|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=854|Informatik (B.Sc. 2010)Diskrete Mathematik (MN1007), Diskrete Mathematik (MN1007)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2016|Konzepte moderner Softwareentwicklung|Der Kurs vermittelt die Grundlagen von gängigen Softwareentwicklungs-Praktiken. Dies geschieht durch selbstständig durchgeführte Teamarbeit innerhalb praxisnaher Softwareprojekte. Dabei erproben die Teilnehmenden die Einarbeitung in produktive Softwaresysteme durch bewährte Techniken.|9|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=787|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS1018|Konzepte systemnaher Programmierung|Unter Benutzung der Programmiersprache C wird eine virtuelle Maschine für eine kleine Programmiersprache implementiert, als Beispiel, wie Abstraktionen aus Systemdiensten synthetisiert werden können.|6|Prof. Dr. Andre Rein|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=7|Informatik (B.Sc. 2010)Algorithmen und Datenstrukturen (CS1017)Objektorientierte Programmierung (CS1013), Algorithmen und Datenstrukturen (CS1017), Objektorientierte Programmierung (CS1013)|3|FB06-MNI|Informatik(B.Sc.2010)
II1004|Leit-, Steuerungs- und Kommunikationssysteme|Das Modul Leit-, Steuerungs und Kommunikationssysteme vermittelt einen Überblick über die Architektur, Funktionalität und Programmierung moderner industrieller Automatisierungs-, Leit- und Kommunikationssysteme.|6|Prof. Dr. Bernd Müller|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=41|Informatik (B.Sc. 2010)Digitaltechnik (II1001)Rechnernetze und Einführung in verteilte Systeme (CS1028), Digitaltechnik (II1001), Rechnernetze und Einführung in verteilte Systeme (CS1028), Ingenieur-Informatik (B.Sc. 2010)Digitaltechnik (II1001), Digitaltechnik (II1001)|4|FB06-MNI|Informatik(B.Sc.2010)
SK2032|Lerngestaltung, Prüfungsvorbereitung und Stressbewältigung im Studium|Was braucht es, damit die Informationen aus dem Studium zu Wissen in meinem Kopf werden, und ich neue Fähigkeiten entwickle? Was kann ich tun, um mein Lernen im Studium günstig zu beeinflussen, zu erleichtern? Und wie erreiche ich Prüfungsstabilität, damit ich mein Wissen im entscheidenden Moment zeigen kann?|3|Laura Magdeburg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2092|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
MN1009|Lineare Algebra|Behandlung praktischer Themen der Linearen Algebra wie Vektoralgebra, Lineare Geometrie, Lineare Gleichungssysteme, Matrizen, Determinanten, Eigenwerte und Eigenvektoren.|6|Prof. Dr. Frank Recker|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=16|Informatik (B.Sc. 2010)Diskrete Mathematik (MN1007), Diskrete Mathematik (MN1007)|2|FB06-MNI|Informatik(B.Sc.2010)
CS2372|LPIC-1: Linux Administrator|Der Onlinekurs bereitet nachhaltig mit der Lernkartei-Methode nach Leitner auf die Linux-Zertifizierung LPIC-1 des Linux Professional Institute vor. Das Zertifikat belegt, dass die Absolventin oder der Absolvent Wartungsaufgaben auf der Kommandozeile ausführen, Linux-Rechner installieren und konfigurieren sowie grundlegende Netzwerk-Konfigurationen vornehmen kann.|6|Prof. Dr. Klaus-Dieter Quibeldey-Cirkel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1534|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2356|Machine Learning|Das Modul vermittelt die Grundlagen des Machinellen Lernens. Dazu zählt ein Überblick über die mathematischen und algorithmischen Grundlagen des Fachs sowie deren Umsetzung in Python unter Verwendung gängiger Frameworks, wie Numpy, Scipy, Scikit-Learn, Keras oder Tensorflow.|6|Prof. Dr. Franz Cemic|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1217|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
SK2007|Methoden und Didaktik für Tutorinnen und Tutoren|Die Studierenden haben Grundlagen der Didaktik und Methodik erworben und im Rahmen einer Praxisphase als Tutor/in angewendet.|3|Prof. Silke Bock|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=640|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II1002|Mikroprozessortechnik|Speicher, Adressierungsmethoden, Busse. Aufbau der CPU. Assemblersprache, Maschinensprache. Rechnerarchitekturen. Mikrocontroller und Peripheriegruppen. Energieeffizienz. Aktuelle Beispielarchitekturen.|6|Prof. Dr. Bernd Müller|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=39|Informatik (B.Sc. 2010)Digitaltechnik (II1001), Digitaltechnik (II1001), Ingenieur-Informatik (B.Sc. 2010)Digitaltechnik (II1001), Digitaltechnik (II1001)|4|FB06-MNI|Informatik(B.Sc.2010)
MN1008|Naturwissenschaftliche und technische Grundlagen|Das Modul vermittelt wesentliche physikalisch-technische Grundlagen der Elektrotechnik (Grundbegriffe, Elektro- und Magnetostatik, Elektromagmetismus, Gleich- und Wechselstromkreise, elektromagnetische Wellen), Halbleitertechnik (Modelle, wesentliche Bauteile), Optik und Signaltechnik.|6|Prof. Dr. Thomas Welzel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=15|Keine|1|FB06-MNI|Informatik(B.Sc.2010)
CS2301|Nebenläufige und verteilte Programme|Dieses Modul führt in die Konzepte der Nebenläufigkeit und Verteilung ein und zeigt, wie Synchronisationsprobleme mit Standard-Techniken und -Mechanismen gelöst werden.|6|Prof. Dr. Uwe Christoph Meyer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=27|Informatik (B.Sc. 2010)Betriebssysteme (CS1022)Programmierung interaktiver Systeme (CS1016)Softwaretechnik (CS1021), Betriebssysteme (CS1022), Programmierung interaktiver Systeme (CS1016), Softwaretechnik (CS1021)|4|FB06-MNI|Informatik(B.Sc.2010)
CS1013|Objektorientierte Programmierung|Das Modul vermittelt, wie modulare Programme mittlerer Komplexität mit Hilfe objekt-orientierter Ansätze entworfen, implementiert und getestet werden.|6|Prof. Dr. Dominikus Herzberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=3|Keine|1|FB06-MNI|Informatik(B.Sc.2010)
CS2020|Offensive IT-Sicherheit|Dieses Modul behandelt die Thematik der Tool-gestützten offensiven IT-Sicherheit, die sich mit der Übernahme von Computersystemen, durch das Überwinden von technischen Schutzmechanismen und das Ausnutzen von Sicherheitslücken, beschäftigt.|9|Prof. Dr. Andre Rein|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1605|Informatik (B.Sc. 2010)Einführung IT-Security: Kryptografie, Software und Systemsicherheit (CS2362), Einführung IT-Security: Kryptografie, Software und Systemsicherheit (CS2362), Social Media Systems (B.Sc. 2016)Einführung IT-Security: Kryptografie, Software und Systemsicherheit (CS2362), Einführung IT-Security: Kryptografie, Software und Systemsicherheit (CS2362)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2383|Online Payment Solutions|Keine|6|Keine|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2450|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2313|Open-Source-Programmierwerkzeuge|Versionsverwaltung und Fehlersuche sind alltägliche Bestandteile bei der Softwareentwicklung. Verschiedene Hilfsprogramme und ihre geschickte Kombination können manche Aufgabe deutlich erleichtern.|6|Prof. Dr. Uwe Christoph Meyer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=30|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2008|Physical Computing|Das Modul führt in Hardware-Plattformen für das Physical Computing ein und vermittelt vertiefte Kenntnisse in der Programmierung solcher Systeme unter Nutzung von Sensoren und Aktoren. Weiterhin werden praktische Erfahrungen mit Robotersystemen erlangt.|6|Prof. Dr. Ing. Diethelm Bienhaus|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=47|Informatik (B.Sc. 2010)Konzepte systemnaher Programmierung (CS1018), Konzepte systemnaher Programmierung (CS1018)|4|FB06-MNI|Informatik(B.Sc.2010)
II1006|Praktikum Eingebettete Systeme|Systematischer Entwurf, Entwicklung, Testung und Dokumentation eingebetteter Software auf Basis aktueller 32-bit Mikrocontroller der ARM Cortex-M-Familie am Beispiel praktischer Aufgaben und Übungs-Projekte.|9|Dipl.-Inform. Michael Kreutzer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=22|Informatik (B.Sc. 2010)Einführung in Eingebettete Systeme (II1005)Konzepte systemnaher Programmierung (CS1018)Mikroprozessortechnik (II1002), Einführung in Eingebettete Systeme (II1005), Konzepte systemnaher Programmierung (CS1018), Mikroprozessortechnik (II1002), Ingenieur-Informatik (B.Sc. 2010)Einführung in Eingebettete Systeme (II1005)Mikroprozessortechnik (II1002), Einführung in Eingebettete Systeme (II1005), Mikroprozessortechnik (II1002)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2021|Praktikum Game Design und Development|Diese Veranstaltung vermittelt Grundlagen zur Konzeption und Entwicklung von analogen und digitalen Spielen.|9|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1606|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2011|Praktikum Rechnernetze|Die Studierenden lösen im Labor Aufgabenstellungen zu den Themen Entwurf und Betrieb lokaler Netze, Netzwerk- und Protokollanalyse sowie Internet-Programmierung.|9|Prof. Dr.-Ing. Dipl.-Inform. Guido Bartsch|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2443|Informatik (B.Sc. 2010)Rechnernetze und Einführung in verteilte Systeme (CS1028), Rechnernetze und Einführung in verteilte Systeme (CS1028)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2023|Praktikum Webtechnologien|Die Veranstaltung vermittelt Kenntnisse und Kompetenzen, die es den Studierenden im Team erlauben, Web-Anwendungen zu entwickeln (nach Client-Server Architektur). Dabei wird auf den Einsatz moderner Technologien (Frameworks) und Methoden gesetzt, sowie auf sicherheitsrelevante Aspekte eingegangen.|9|M.Sc. Dennis Priefer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2445|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2015|Praktikum Wirtschaftsinformatik|Teamorientierte Entwicklung von Geschäftsanwendungen mit aktuellen Themen und Technologien.|9|Prof. Dr. Harald Ritz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=20|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2014|Praktische Elektronik und Prototypenentwicklung|Das Modul behandelt die grundlegenden Elemente der digitalen und analogen Elektrotechnik. Darauf aufbauend werden Kompetenzen in der Entwicklung prototypischer Schaltungen geschaffen. Dabei wird besonders Wert auf typische Schaltungen für die Anbindung von Sensorik / Aktorik an Mikrocontroller gelegt.|6|Florian von Zabiensky|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=626|Informatik (B.Sc. 2010)Naturwissenschaftliche und technische Grundlagen (MN1008), Naturwissenschaftliche und technische Grundlagen (MN1008)|4|FB06-MNI|Informatik(B.Sc.2010)
II2029|Praxisnahe Anwendungen humanoide Roboter|Keine|6|Keine|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2452|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2006|Programmierbare Logik|Das Modul Programmierbare Logik vermittelt einen Überblick über moderne Technologien und Methoden zur Realisierung digitaler Systeme mit programmierbaren Logikbausteinen.|3|Prof. Dr. Bernd Müller|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=46|Informatik (B.Sc. 2010)Digitaltechnik (II1001), Digitaltechnik (II1001), Ingenieur-Informatik (B.Sc. 2010)Digitaltechnik (II1001), Digitaltechnik (II1001)|4|FB06-MNI|Informatik(B.Sc.2010)
CS1016|Programmierung interaktiver Systeme|Die Studierenden beherrschen fortgeschrittene Konzepte einer modernen Programmiersprache, die sowohl prozedurale, objektorientierte als auch funktionale Sprachkonstrukte umfasst. Sie sind zudem dazu befähigt, ein Programmierprojekt mit interaktiven Anteilen umzusetzen.|6|Prof. Dr. Dominikus Herzberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=5|Informatik (B.Sc. 2010)Grundlagen der Informatik (CS1014)Objektorientierte Programmierung (CS1013), Grundlagen der Informatik (CS1014), Objektorientierte Programmierung (CS1013)|2|FB06-MNI|Informatik(B.Sc.2010)
CS2358|Projekt - Industrie  4.0 und Digitalisierung|Studierende unterschiedlicher Fachbereiche sollen ein interdisziplinäres Projekt umsetzen und ihre Fachkompetenzen anwenden, um das Projekt unter realen Bedingungen durchzuführen. Bei dem interdisziplinären Projekt übernehmen die Studierenden die Implementierung der funktionalen und nichtfunktionalen Anforderungen des Projekts.|6|Prof. Dr. Christian Überall|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1085|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2361|Projektentwicklung mit Kotlin|Das Modul liefert einen Einblick in die Programmiersprache Kotlin und vermittelt technische und methodische Grundlagen für die Entwicklung von Kotlin-Anwendungen. Die Grundlagen werden anhand eines Projektes praktisch umgesetzt.|6|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1207|Informatik (B.Sc. 2010)Webbasierte Systeme (CS1024), Webbasierte Systeme (CS1024), Social Media Systems (B.Sc. 2016)Webbasierte Programmierung 2 (IT1002), Webbasierte Programmierung 2 (IT1002)|4|FB06-MNI|Informatik(B.Sc.2010)
BA1005|Projektmanagement|Diese Veranstaltung vermittelt Grundlagen und Anwendungen des Projektmanagement.|3|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
BA2001|Projektmanagement erleben|Die Studierenden erleben Projektmanagement in einem fiktiven Unternehmen. Das Modul macht klassisches, agiles und systemisches Projektmanagement anhand eines Planspiels erlebbar.|3|Prof. Dr. Bettina Just|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1435|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS3004|Projektphase|Die Studierenden arbeiten selbstbestimmt und entwickeln ein konkretes Projekt. Das Modul ist die Basis für die Bachelorarbeit.|12|Prof. Dr. Alexander Dworschak|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2454|Informatik (B.Sc. 2010)Projektseminar (CS3005)Softwaretechnik-Projekt (CS1023), Projektseminar (CS3005), Softwaretechnik-Projekt (CS1023)|4|FB06-MNI|Informatik(B.Sc.2010)
CS3005|Projektseminar|In diesem Seminar präsentieren die Studierenden die Ergebnisse ihrer Projektphase in einer klar strukturierten Präsentation.|3|Prof. Dr. Burkhardt Renz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2455|Informatik (B.Sc. 2010)Projektphase (CS3004), Projektphase (CS3004)|4|FB06-MNI|Informatik(B.Sc.2010)
CS1028|Rechnernetze und Einführung in verteilte Systeme|Dieses Modul erklärt den Aufbau von Rechnernetzen und verteilten Systemen anhand eines Schichtenmodells (ISO/OSI), die Funktionsweise des Internets und seiner wichtigsten Dienste und gibt eine Einführung in die wichtigsten Konzepte verteilter Systeme.|6|Prof. Dr. Uwe Christoph Meyer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1204|Keine|1|FB06-MNI|Informatik(B.Sc.2010)
CS2374|Rechnersystem- und Prozessor-Architekturen|Das Modul vermittelt essenzielle Grundlagen in Bezug auf den Aufbau, die Funktionsweise und die Organisation von Rechnersystemen und Prozessoren.|6|Prof. Dr.-Ing. Dipl.-Inform. Guido Bartsch|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1618|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
SK1005|Recht für Informatiker/innen|Die Studierenden haben ein Bewusstsein für Rechtsfragen und kennen mögliche rechtliche Implikationen ihres späteren Arbeitsumfeldes.|3|Prof. Dr. Alexander Dworschak|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=17|Keine|2|FB06-MNI|Informatik(B.Sc.2010)
CS2360|Requirements Engineering|Eine Anforderungsanalyse entscheidet über den Erfolg eines Projektes oder Produktes. Sie nimmt eine zentrale Stellung in der Systementwicklung ein. Das Modul „Requirements Engineering” behandelt den Prozess, Anforderungen an Systeme zu erheben und ihre ständige Veränderung zu managen. Es vermittelt Strategien zur pragmatischen Umsetzung.|6|Prof. Dr. Harald Ritz|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1209|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2320|Ruby on Rails|Ruby On Rails ist eine Einführung in die objektorientierte Programmiersprache Ruby und das Framework Ruby on Rails.|6|Prof. Dr. Alexander Dworschak|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=32|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2330|SAP R/3 - Einführung in ABAP|Reportprogrammierung in SAP/R3 mit ABAP.|6|Prof. Dr. Peter Hohmann|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=34|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2348|Secure Software Engineering|Sicheres Deployment, Analysewerkzeuge, typische Sicherheitslücken und Verschlüsselungssysteme|6|Dr. habil. Frank Kammer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=895|Informatik (B.Sc. 2010)Datenbanksysteme (CS1020)Webbasierte Systeme (CS1024), Datenbanksysteme (CS1020), Webbasierte Systeme (CS1024), Social Media Systems (B.Sc. 2016)Webbasierte Programmierung 2 (IT1002), Webbasierte Programmierung 2 (IT1002)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2334|Serverarchitektur und Virtualisierung|Die Veranstaltung soll die Teilnehmer in die Lage versetzen, sich in der realen und virtuellen Rechnerwelt zu orientieren. Anhand von Bedarfsanalysen und verschiedener Konzepte sollen Wege für eine Virtualisierung aufgezeigt werden. Im Rahmen des Kurses wird die zuvor geplante virtuelle Infrastruktur einmal von der Installation bis hin zur Administration komplett realisiert.|6|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=36|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2376|Sicherheit und Datenschutz in der Webentwicklung|Um Websites und -server vor Hackerangriffen zu schützen, werden Verfahren vermittelt, um den Besucherverkehr zu überwachen, datenschutzkonform auszuwerten und Angriffe zu erkennen sowie Schutzmaßnahmen zu implementieren und den verantwortungsvollen Umgang mit personenbezogenen Daten zu praktizieren.|6|Prof. Dr. Andre Rein|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2063|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2381|Simulation von Quantencomputern und ihren Grundlagen|Keine|6|Keine|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2094|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2024|Simulationsmethoden zur Entwicklung von Eingebetteten Systemen|Das Modul behandelt verschiedene Konzepte der Simulation eingebetteter Systeme. Darauf aufbauend werden Kompetenzen in der Entwicklung solcher Simulationsumgebungen sowie deren Anwendung bei der Unterstützung des Entwicklungsprozesses eingebetteter Systeme vermittelt.|6|Florian von Zabiensky|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1715|Informatik (B.Sc. 2010)Mikroprozessortechnik (II1002), Mikroprozessortechnik (II1002), Ingenieur-Informatik (B.Sc. 2010)Mikroprozessortechnik (II1002), Mikroprozessortechnik (II1002)|4|FB06-MNI|Informatik(B.Sc.2010)
BI1012|Skriptsprachen in der Bioinformatik|Unix und Skriptsprachen mit Fokus auf bioinformatische Anwendungen|6|Prof. Dr. Andreas Gogol-Döring|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=23|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS1021|Softwaretechnik|Einführung in die Softwaretechnik mit Schwerpunkt Objektorientierung.|6|Prof. Dr. Dominikus Herzberg|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1610|Informatik (B.Sc. 2010)Algorithmen und Datenstrukturen (CS1017)Objektorientierte Programmierung (CS1013), Algorithmen und Datenstrukturen (CS1017), Objektorientierte Programmierung (CS1013)|3|FB06-MNI|Informatik(B.Sc.2010)
CS1023|Softwaretechnik-Projekt|Planung und Durchführung eines Softwareprojekts in einer Gruppe von 4 Projektteilnehmern.|9|Prof. Dr. Uwe Christoph Meyer|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=11|Informatik (B.Sc. 2010)Datenbanksysteme (CS1020)Programmierung interaktiver Systeme (CS1016)Softwaretechnik (CS1021), Datenbanksysteme (CS1020), Programmierung interaktiver Systeme (CS1016), Softwaretechnik (CS1021)|4|FB06-MNI|Informatik(B.Sc.2010)
MN1017|Statistik und Datenanalyse|Kurs in beschreibender und schließender Statistik unter Einbeziehung von Grundlagen der Wahrscheinlichkeitstheorie und unter Verwendung der Skriptsprache R|6|Prof. Dr. Matthias Gundlach|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=632|Keine|3|FB06-MNI|Informatik(B.Sc.2010)
CS2344|Suchmaschinentechnologie|Technologien zur Implementierung einer Suchmaschine|6|Prof. Dr. Alexander Dworschak|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=789|Informatik (B.Sc. 2010)Softwaretechnik-Projekt (CS1023)Webbasierte Systeme (CS1024), Softwaretechnik-Projekt (CS1023), Webbasierte Systeme (CS1024)|4|FB06-MNI|Informatik(B.Sc.2010)
CS2365|Swift-Programmierung unter iOS|Dieses Modul vermittelt Grundlagen und Techniken der Anwendungsentwicklung mit Swift.|6|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1245|Informatik (B.Sc. 2010)Programmierung interaktiver Systeme (CS1016), Programmierung interaktiver Systeme (CS1016), Social Media Systems (B.Sc. 2016)Webbasierte Programmierung 2 (IT1002), Webbasierte Programmierung 2 (IT1002)|4|FB06-MNI|Informatik(B.Sc.2010)
II2010|System-Entwicklung in der Automobilbranche|Anforderungen an Systeme in Fahrzeugen, Zerlegungstechniken, Entwurfsmethoden und Middleware-Plattformen für solche Systeme mit praxisnahen Beispielen|6|Prof. Dr. Berthold Franzen|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=478|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
II2026|Tragbare Sensorik|Einführung in die Funktionsprinzipien und Signalverarbeitung tragbarer Sensorik.|6|Prof. Dr.-Ing. Nina Rudigkeit|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=2069|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
EB2006|Unternehmensorganisation|In dieser Veranstaltung werden die Prinzipien der Organisationsgestaltung unter Einsatz von Organisationsmethoden und -techniken vermittelt.|6|Prof. Dr. Armin Wagenknecht|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=892|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2369|Verteilte Anwendungsentwicklung|Um in verteilten Entwicklerteams gemeinsam an einer Code-Basis zu arbeiten, bedarf es der kollaborativen Versionsverwaltung. Für diese Zwecke gibt es Versionskontrollsysteme (VCS). Im Modul werden die Studierenden mit den Herausforderungen der Anwendungsentwicklung im virtuellen Raum vertraut gemacht.|6|Prof. Dr. Klaus-Dieter Quibeldey-Cirkel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=1526|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS2335|Web Programming Weeks 1|Diese als Kompaktpraktikum durchgeführte Veranstaltung vermittelt sehr praktische Kenntnisse im Umgang webbasierte Techniken unter Verwendung wichtiger Frameworks mit dem Ziel, diese zur Entwicklung einfacher Systeme einzusetzen. Dabei sollen insbesondere auch agiler Prinzipien eingeübt werden.|6|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=37|Keine|4|FB06-MNI|Informatik(B.Sc.2010)
CS1024|Webbasierte Systeme|Das Modul vermittelt technische und methodische Grundlagen für die Entwicklung von Web-Applikationen.|6|Prof. Dr. Peter Kneisel|https://www.thm.de/organizer/?option=com_organizer&view=SubjectItem&id=12|Informatik (B.Sc. 2010)Objektorientierte Programmierung (CS1013)Rechnernetze und Einführung in verteilte Systeme (CS1028), Objektorientierte Programmierung (CS1013), Rechnernetze und Einführung in verteilte Systeme (CS1028)|2|FB06-MNI|Informatik(B.Sc.2010)
